Judul,Perusahaan,Lokasi,Gaji,Tanggal,Tipe Pekerjaan,Fungsi Pekerjaan,Jenjang Karir,Pengalaman Minimal,Tingkat Pendidikan,Jurusan Pendidikan,Deskripsi Pekerjaan,Deskripsi Persyaratan,Deskripsi Perusahaan,Gaji Minimum,Gaji Maksimum
SALES EKSEKUTIF PURBALINGGA,PT Era Mulya Citra Warna,Purbalingga,"Rp 1,9 juta - Rp 3 juta/bulan",,Tidak Disebutkan,"Penjualan dan Pemasaran, Pemasaran (Non-Teknis), Pemasaran (Teknis)","Pemula / Staf, Supervisor",1 tahun,SMA,Semuanya,"MELAKUKAN PENJUALAN PRODUKPRODUK
MELAKUKAN PENAGIHAN TERHADAP TOKOTOKO PELANGGAN
MEMBUKA OUTLETOULET BARU  NOO 
MELAKUKAN SPREADING","PRIA
SEHAT JASMANI DAN ROHANI
SIAP KERJA KERAS  TIM
MEMPUNYAI KENDARAAN SENDIRI  MEMILIKI SIM
PENGALAMAN DIMATERIAL BUILDING
MEMILIKI SKCK AKTIF",PT ERA MULYA CITRA WARNA berawal dari perusahaan home industry dengan badan usaha CV Era Usaha Jaya yang didirikan pada saat krisis ekonomi melanda belahan Asia termasuk Neegara Indonesia yaitu tepatnya pada tanggal 12 September 1998 oleh Bpk HM Yamin Usaha Perusahaan bermula bergerak dibidang supplier peralatan bangunan seperti pipa pvc dan asesorinya termasuk asesori keperluan bangunan lainnya Seiring dengan perkembangan perusahaan Bpk HM Yamin mulai melakukan diversifikasi usaha dengan menjadi supplier cat Hal ini terinspirasi karena menjelang hari raya biasa konsumen ingin memperindah rumahnya sehingga permintaan pasar akan cat menjadi meningkat Dan pada tanggal 17 Juni 2000 CV ERA USAHA JAYA mulai memproduksi cat tembok sendiri dengan merk KATALUX Sejalan dengan perkembangan pemasaran cat tersebut maka tahun 2002 perusahaan akhirnya dapat membangun pabrik dan gudang diatas tanah seluas 5000 m2 Setelah melakukan survey dan riset pasar makan pada tahun 2003 perusahaan sudah dapat memproduksi cat jenis solvent base untuk di aplikasi pada besi dan kayu Melihat usahanya cukup memiliki berpotensi yang baik maka Pimpinan perusahaan merasa perlu melakukan perluasan tempat produksi dengan mempertimbangkan produksi cat berbahan dasar air dan minyak secara terpisah Maka pada tahun 2004 perusahaan sudah mulai membangun tempat produksi secra terpisah di atas tanah seluas 10000 m2 Demi meningkatkan perkembangan perusahaan maka pada tahun 2011 perusahaan melakukan penambahan inventasi permodaln dan pengukuhan kepemilikan perusahaan dari CV menjadi PERSEROAN TERBATAS dengan nama PT ERA MULYA CITRA WARNA Hingga saat ini perusahaan sudah menghasilkan produk cat berbahan dasar air yaitu cat tembok cat genteng plamur cat pelapis anti bocor cat water profing cat dasar alkali resistant sealer dan produk cat berbahan dasar minyak yaitu cat kayu dan besi cat besi tempa varnish dan pengencer cat Sedangkan merk dagang dari hasil produksi perusahaan saat ini yang sudah mendapatkan pengukuhan secara hukum dari kementrian perdagangan dan hukum yaitu KATALUX JAPENTEX ERA PAINT dan PUTTYLAC Sampai dengan akhir tahun 2013 perusahaan sudah memiliki sebanyak 26 kantor cabang pemasaran di pulau jawa 2 agen di Purwokerto dan Jember dan 1 Distributor untuk propinsi Lampung dan Bengkulu Seiring dengan Visi dan Misi Perusahaan saat ini perusahaan terus melakukan perkembangan pemasaran ke luar pulau sampai nantinya sampai ke seluruh pelosok tanah air dengan membangun konsep bisnis keagenan dan distributor Demi meningkatkan pelayanan kepuasan pelanggan dan konsumen akhir perusahaan tetap konsisten menjaga kualitas produk yang sudah dihasilkan dari waktu ke waktu dan terus melakukan inovasi baik secara teknologi yang dipergunakan maupun produkproduk yang dihasilkan Jam  Hari Kerja  Senin  Jumat  08301700  Sabtu  08301430,1900000.0,3000000.0
SALES EKSEKUTIF PURWOKERTO,PT Era Mulya Citra Warna,Purwokerto,Rp 2 juta - Rp 3 juta/bulan,,Tidak Disebutkan,"Penjualan dan Pemasaran, Penjualan (Non-Teknis), Penjualan (Teknis)","Pemula / Staf, Staf Senior",1 tahun,Apa Saja,Pemasaran,"Melakukan penjualan produk
Pembukaan outlet
Melakukan tagihan
Merchandising","Pria
Usia 20  45 tahun
Pendidikan SDSMPSMASMKSederajat
Pengalaman minimal 2 tahun di bidang sales lebih disukai di bidang Material Building atau Consumer Goods
Domisili Purwokerto Jawa Timur dan sekitarnya
Memiliki SIM C memiliki kendaraan pribadi
Siap bekerja dibawah tekanan
Siap bekerja dengan target
Mampu bekerja dalam team maupun individu


Fasilitas
Gaji
Uang Makan
Komisi
Insentif
BPJS Kesehatan  Ketenagakerjaan
Jenjang Karir",PT ERA MULYA CITRA WARNA berawal dari perusahaan home industry dengan badan usaha CV Era Usaha Jaya yang didirikan pada saat krisis ekonomi melanda belahan Asia termasuk Neegara Indonesia yaitu tepatnya pada tanggal 12 September 1998 oleh Bpk HM Yamin Usaha Perusahaan bermula bergerak dibidang supplier peralatan bangunan seperti pipa pvc dan asesorinya termasuk asesori keperluan bangunan lainnya Seiring dengan perkembangan perusahaan Bpk HM Yamin mulai melakukan diversifikasi usaha dengan menjadi supplier cat Hal ini terinspirasi karena menjelang hari raya biasa konsumen ingin memperindah rumahnya sehingga permintaan pasar akan cat menjadi meningkat Dan pada tanggal 17 Juni 2000 CV ERA USAHA JAYA mulai memproduksi cat tembok sendiri dengan merk KATALUX Sejalan dengan perkembangan pemasaran cat tersebut maka tahun 2002 perusahaan akhirnya dapat membangun pabrik dan gudang diatas tanah seluas 5000 m2 Setelah melakukan survey dan riset pasar makan pada tahun 2003 perusahaan sudah dapat memproduksi cat jenis solvent base untuk di aplikasi pada besi dan kayu Melihat usahanya cukup memiliki berpotensi yang baik maka Pimpinan perusahaan merasa perlu melakukan perluasan tempat produksi dengan mempertimbangkan produksi cat berbahan dasar air dan minyak secara terpisah Maka pada tahun 2004 perusahaan sudah mulai membangun tempat produksi secra terpisah di atas tanah seluas 10000 m2 Demi meningkatkan perkembangan perusahaan maka pada tahun 2011 perusahaan melakukan penambahan inventasi permodaln dan pengukuhan kepemilikan perusahaan dari CV menjadi PERSEROAN TERBATAS dengan nama PT ERA MULYA CITRA WARNA Hingga saat ini perusahaan sudah menghasilkan produk cat berbahan dasar air yaitu cat tembok cat genteng plamur cat pelapis anti bocor cat water profing cat dasar alkali resistant sealer dan produk cat berbahan dasar minyak yaitu cat kayu dan besi cat besi tempa varnish dan pengencer cat Sedangkan merk dagang dari hasil produksi perusahaan saat ini yang sudah mendapatkan pengukuhan secara hukum dari kementrian perdagangan dan hukum yaitu KATALUX JAPENTEX ERA PAINT dan PUTTYLAC Sampai dengan akhir tahun 2013 perusahaan sudah memiliki sebanyak 26 kantor cabang pemasaran di pulau jawa 2 agen di Purwokerto dan Jember dan 1 Distributor untuk propinsi Lampung dan Bengkulu Seiring dengan Visi dan Misi Perusahaan saat ini perusahaan terus melakukan perkembangan pemasaran ke luar pulau sampai nantinya sampai ke seluruh pelosok tanah air dengan membangun konsep bisnis keagenan dan distributor Demi meningkatkan pelayanan kepuasan pelanggan dan konsumen akhir perusahaan tetap konsisten menjaga kualitas produk yang sudah dihasilkan dari waktu ke waktu dan terus melakukan inovasi baik secara teknologi yang dipergunakan maupun produkproduk yang dihasilkan Jam  Hari Kerja  Senin  Jumat  08301700  Sabtu  08301430,2000000.0,3000000.0
Driver Director,PT Mitra Insan Sejahtera,Jakarta Pusat,Gaji di atas ekspektasi,,Tidak Disebutkan,Supir,Pemula / Staf,3 tahun,SMA,Semuanya,"Mengantar dan menjemput director
Merawat dan memeriksa kendaraan yang digunakan
Memahami peraturan lalu lintas","Pendidikan minimal SLTASMASederajat
Berpengalaman bekerja sebagai driver minimal 3 tahun
Memiliki SIM 
Usia maksimal 27 tahun
Berpenampilan rapi
diutamakan yang memiliki inisiatif tinggi jujur",PT Mitra Insan Sejahtera merupakan perusahaan recruitment center bukan perusahaan outsourching yang berpengalaman lebih dari 5 tahun dibidangnya serta terus menerus mengalami perkembangan Saat ini PT Mitra Insan Sejahtera meliliki klien dari berbagai jenis bidang usaha seperti Farmasi Retail Informasi Technologi Export Import Manufacturing dan lain lain Mekanisme kerja PT Mitra Insan Sejahtera adalah memfasilitasi antara klien kami yg sedang membutuhkan profesional handal dibidangnya dengan potensial kandidat yang berkompeten dibidangnya Berikut adalah lowongan kerja yang dibutuhkan oleh klien kami ,,
SALES EXECUTIVE TEGAL BREBES,PT Era Mulya Citra Warna,Bogor,"Rp 2,5 juta - Rp 3 juta/bulan",,Tidak Disebutkan,Penjualan dan Pemasaran,Staf Senior,2 tahun,"SMA, Apa Saja",Pemasaran,"Melakukan penjualan produkproduk
Melakukan penagihan terhadap tokotoko
Membuka outletoutlet baru NOO
Melakukan spreading produk","Pria usia maksimal 40 tahun
Pendidikan minimal SDSMPSMASMKS1 atau sederajat
Memiliki pengalaman minimal 3 tahun dibidangnya
Memiliki kendaraan sendiri dan memiliki SIM C
Memiliki kemampuan komunikasi negosiasi dan persentasi yang baik
Jujur disiplin komunikatif",PT ERA MULYA CITRA WARNA berawal dari perusahaan home industry dengan badan usaha CV Era Usaha Jaya yang didirikan pada saat krisis ekonomi melanda belahan Asia termasuk Neegara Indonesia yaitu tepatnya pada tanggal 12 September 1998 oleh Bpk HM Yamin Usaha Perusahaan bermula bergerak dibidang supplier peralatan bangunan seperti pipa pvc dan asesorinya termasuk asesori keperluan bangunan lainnya Seiring dengan perkembangan perusahaan Bpk HM Yamin mulai melakukan diversifikasi usaha dengan menjadi supplier cat Hal ini terinspirasi karena menjelang hari raya biasa konsumen ingin memperindah rumahnya sehingga permintaan pasar akan cat menjadi meningkat Dan pada tanggal 17 Juni 2000 CV ERA USAHA JAYA mulai memproduksi cat tembok sendiri dengan merk KATALUX Sejalan dengan perkembangan pemasaran cat tersebut maka tahun 2002 perusahaan akhirnya dapat membangun pabrik dan gudang diatas tanah seluas 5000 m2 Setelah melakukan survey dan riset pasar makan pada tahun 2003 perusahaan sudah dapat memproduksi cat jenis solvent base untuk di aplikasi pada besi dan kayu Melihat usahanya cukup memiliki berpotensi yang baik maka Pimpinan perusahaan merasa perlu melakukan perluasan tempat produksi dengan mempertimbangkan produksi cat berbahan dasar air dan minyak secara terpisah Maka pada tahun 2004 perusahaan sudah mulai membangun tempat produksi secra terpisah di atas tanah seluas 10000 m2 Demi meningkatkan perkembangan perusahaan maka pada tahun 2011 perusahaan melakukan penambahan inventasi permodaln dan pengukuhan kepemilikan perusahaan dari CV menjadi PERSEROAN TERBATAS dengan nama PT ERA MULYA CITRA WARNA Hingga saat ini perusahaan sudah menghasilkan produk cat berbahan dasar air yaitu cat tembok cat genteng plamur cat pelapis anti bocor cat water profing cat dasar alkali resistant sealer dan produk cat berbahan dasar minyak yaitu cat kayu dan besi cat besi tempa varnish dan pengencer cat Sedangkan merk dagang dari hasil produksi perusahaan saat ini yang sudah mendapatkan pengukuhan secara hukum dari kementrian perdagangan dan hukum yaitu KATALUX JAPENTEX ERA PAINT dan PUTTYLAC Sampai dengan akhir tahun 2013 perusahaan sudah memiliki sebanyak 26 kantor cabang pemasaran di pulau jawa 2 agen di Purwokerto dan Jember dan 1 Distributor untuk propinsi Lampung dan Bengkulu Seiring dengan Visi dan Misi Perusahaan saat ini perusahaan terus melakukan perkembangan pemasaran ke luar pulau sampai nantinya sampai ke seluruh pelosok tanah air dengan membangun konsep bisnis keagenan dan distributor Demi meningkatkan pelayanan kepuasan pelanggan dan konsumen akhir perusahaan tetap konsisten menjaga kualitas produk yang sudah dihasilkan dari waktu ke waktu dan terus melakukan inovasi baik secara teknologi yang dipergunakan maupun produkproduk yang dihasilkan Jam  Hari Kerja  Senin  Jumat  08301700  Sabtu  08301430,2500000.0,3000000.0
Junior Personal Assistant,PT Mitra Insan Sejahtera,Jakarta Pusat,Gaji di atas ekspektasi,,Tidak Disebutkan,"Manajemen Operasional, Administrasi",Pemula / Staf,1 tahun,"D3, SMA",Semuanya,"Mengatur dan menyusun jadwal Direksi dengan efektif
Membantu mengelola tugas administratif seharihari
Menyiapkan keperluan dokumen registrasi kegiatan Direksi
Mengkoordinasikan perjalanan dan pengaturan akomodasi Direksi
Mendampingi Direksi jika ada tugas keluar kantor","Minimal Pendidikan SMASMK Semua Jurusan
Maksimal Usia 27 tahun
Mempunyai SIM A dan SIM c
Kemampuan multitasking yang kuat dan pengaturan waktu yang baik untuk mengelola berbagai prioritas
Kemampuan komunikasi lisan dan tertulis yang sangat baik dalam Bahasa Indonesia dan Inggris
Mahir dalam menggunakan Microsoft Office Word Excel PowerPoint dan aplikasi produktivitas kantor lainnya
Memiliki Inisiatif ketelitian dan perhatian terhadap detail yang tinggi",PT Mitra Insan Sejahtera merupakan perusahaan recruitment center bukan perusahaan outsourching yang berpengalaman lebih dari 5 tahun dibidangnya serta terus menerus mengalami perkembangan Saat ini PT Mitra Insan Sejahtera meliliki klien dari berbagai jenis bidang usaha seperti Farmasi Retail Informasi Technologi Export Import Manufacturing dan lain lain Mekanisme kerja PT Mitra Insan Sejahtera adalah memfasilitasi antara klien kami yg sedang membutuhkan profesional handal dibidangnya dengan potensial kandidat yang berkompeten dibidangnya Berikut adalah lowongan kerja yang dibutuhkan oleh klien kami ,,
Marketing Supervisor,PT Mitra Insan Sejahtera,Banjarmasin,Gaji di atas ekspektasi,,Tidak Disebutkan,Penjualan dan Pemasaran,"Staf Senior, Supervisor",2 tahun,SMA,Semuanya,"Melakukan promosi program perusahaan kepada dokter dan apotek
Menjalin kerjasama dengan apotek di daerah kerja
Membantu dokter dan apotek dalam mengaplikasi program perusahaan
Bertanggung jawab terhadap pencapaian target
Memantau atau memastikan distribusi produk","Usia Maks 33 Tahun
Pendidikan Min SMASMK Semua Jurusan
Dapat berkomunikasi dengan baik
Memiliki kendaraan bermotor dan SIM C
Menyukai pekerjaan lapangan
Memiliki pengalaman sebagai marketingSales Min 1 Tahun
Dapat bekerja dalam team",PT Mitra Insan Sejahtera merupakan perusahaan recruitment center bukan perusahaan outsourching yang berpengalaman lebih dari 5 tahun dibidangnya serta terus menerus mengalami perkembangan Saat ini PT Mitra Insan Sejahtera meliliki klien dari berbagai jenis bidang usaha seperti Farmasi Retail Informasi Technologi Export Import Manufacturing dan lain lain Mekanisme kerja PT Mitra Insan Sejahtera adalah memfasilitasi antara klien kami yg sedang membutuhkan profesional handal dibidangnya dengan potensial kandidat yang berkompeten dibidangnya Berikut adalah lowongan kerja yang dibutuhkan oleh klien kami ,,
Beauty Consultant,PT Mitra Insan Sejahtera,Prov. DKI-Jakarta,Gaji di atas ekspektasi,,Tidak Disebutkan,Konsultan,Pemula / Staf,-,D3,Semuanya,"Menguasai product knowledge dan dapat menjelaskan prdoduct ke konsumen
Melakukan pencatatan keluar masuk barang
Menerima dan melaporkan keuangan ke SupervisorManager
Melakukan direct selling dan pencapaian target sales","Wanita
Usia maksimal 26 tahun
Minimal D3 Segala Jurusan",PT Mitra Insan Sejahtera merupakan perusahaan recruitment center bukan perusahaan outsourching yang berpengalaman lebih dari 5 tahun dibidangnya serta terus menerus mengalami perkembangan Saat ini PT Mitra Insan Sejahtera meliliki klien dari berbagai jenis bidang usaha seperti Farmasi Retail Informasi Technologi Export Import Manufacturing dan lain lain Mekanisme kerja PT Mitra Insan Sejahtera adalah memfasilitasi antara klien kami yg sedang membutuhkan profesional handal dibidangnya dengan potensial kandidat yang berkompeten dibidangnya Berikut adalah lowongan kerja yang dibutuhkan oleh klien kami ,,
Beauty Advisor,PT Mitra Insan Sejahtera,Prov. DKI-Jakarta,Gaji di atas ekspektasi,,Tidak Disebutkan,Konsultan,Pemula / Staf,-,D3,Semuanya,"menguasai product knowledge dan dapat menjelaskan prdoduct ke konsumen
melakukan pencatatan keluar masuk barang
menerima dan melaporkan keuangan ke SupervisorManager
melakukan direct selling dan pencapaian target sales","Wanita Max 26 th
Min D3 Segala Jurusan Tinngi min 158cm dg tubuh proposional
Penempatan Jakarta Selatan
Jujur rajin dan bertanggung jawab
Dapat dipercaya dan dapat berkomunikasi dengan baik secara lisan maupun tulisan
Memiliki semangat untuk mempelajari halhal baru dan cepat beradaptasi dalam lingkungan baru
Mampu bekerja secara team maupun individu",PT Mitra Insan Sejahtera merupakan perusahaan recruitment center bukan perusahaan outsourching yang berpengalaman lebih dari 5 tahun dibidangnya serta terus menerus mengalami perkembangan Saat ini PT Mitra Insan Sejahtera meliliki klien dari berbagai jenis bidang usaha seperti Farmasi Retail Informasi Technologi Export Import Manufacturing dan lain lain Mekanisme kerja PT Mitra Insan Sejahtera adalah memfasilitasi antara klien kami yg sedang membutuhkan profesional handal dibidangnya dengan potensial kandidat yang berkompeten dibidangnya Berikut adalah lowongan kerja yang dibutuhkan oleh klien kami ,,
SALES REPRESENTATIVE,PT Mitra Insan Sejahtera,Prov. DKI-Jakarta,Gaji di atas ekspektasi,,Tidak Disebutkan,Penjualan dan Pemasaran,Pemula / Staf,-,Apa Saja,Semuanya,"Menjamin pencapaian sales target di areanya minimal 100 dari target yang ditetapkan
Memonitoring stok outlet yang berada di area yang telah ditentukan
Product Knowledge","Pria
Usia Max 26 th
Pendidikan Min SMA Segala Jurusan
Memiliki SIM C dan kendaraan bermotor
Menyukai pekerjaan lapangan
Penempatan seluruh Indonesia",PT Mitra Insan Sejahtera merupakan perusahaan recruitment center bukan perusahaan outsourching yang berpengalaman lebih dari 5 tahun dibidangnya serta terus menerus mengalami perkembangan Saat ini PT Mitra Insan Sejahtera meliliki klien dari berbagai jenis bidang usaha seperti Farmasi Retail Informasi Technologi Export Import Manufacturing dan lain lain Mekanisme kerja PT Mitra Insan Sejahtera adalah memfasilitasi antara klien kami yg sedang membutuhkan profesional handal dibidangnya dengan potensial kandidat yang berkompeten dibidangnya Berikut adalah lowongan kerja yang dibutuhkan oleh klien kami ,,
Kepala Cabang,PT Mitra Insan Sejahtera,Jakarta Pusat,Gaji di atas ekspektasi,,Tidak Disebutkan,"Manajemen Operasional, Administrasi",Supervisor,1 tahun,S1,Semuanya,"Mengatur Mengelola Melakukan Kontrol Mengarahkan Membuat Planning agar pelaksanaan operasional gudang cabang berjalan sesuai dengan SOP yang berlaku dari Tujuan Perusahaan 
Menganalisa dan membuat strategi untuk peningkatan target 
Bertanggung jawab terhadap semua kegiatan operasional Cabang sesuai dengan aturan yang ditetapkan di perusahaan","Maksimal Usia 30 Tahun
Min S1 Segala Jurusan
Min mempunyai pengalaman 1 Tahun sebagai Kepala Cabang
Mengerti SOP dan CDOB",PT Mitra Insan Sejahtera merupakan perusahaan recruitment center bukan perusahaan outsourching yang berpengalaman lebih dari 5 tahun dibidangnya serta terus menerus mengalami perkembangan Saat ini PT Mitra Insan Sejahtera meliliki klien dari berbagai jenis bidang usaha seperti Farmasi Retail Informasi Technologi Export Import Manufacturing dan lain lain Mekanisme kerja PT Mitra Insan Sejahtera adalah memfasilitasi antara klien kami yg sedang membutuhkan profesional handal dibidangnya dengan potensial kandidat yang berkompeten dibidangnya Berikut adalah lowongan kerja yang dibutuhkan oleh klien kami ,,
